Topic,Event,TimeLine,SE
0,[0],"[0, 60, 11, 29, 23, 18, 13, 311, 13, 22, 44, 30, 24, 21, 87, 30, 18, 15, 23, 26, 10, 18, 20, 17, 19, 11, 17, 8, 10, 14, 11, 6, 14, 13, 9, 11, 8, 8, 17, 1]","[0, 13]"
1,[1],"[0, 104, 26, 25, 36, 37, 364, 18, 19, 16, 52, 23, 20, 21, 80, 20, 15, 28, 32, 20, 38, 33, 32, 20, 15, 29, 15, 25, 24, 20, 21, 10, 17, 33, 20, 20, 9, 8, 19, 1]","[0, 7]"
1,[2],"[0, 104, 26, 25, 36, 37, 364, 18, 19, 16, 52, 23, 20, 21, 80, 20, 15, 28, 32, 20, 38, 33, 32, 20, 15, 29, 15, 25, 24, 20, 21, 10, 17, 33, 20, 20, 9, 8, 19, 1]","[9, 15]"
2,[3],"[0, 95, 31, 30, 214, 27, 15, 17, 18, 18, 49, 42, 39, 32, 32, 26, 21, 25, 49, 19, 20, 21, 31, 51, 45, 39, 18, 24, 20, 24, 20, 25, 19, 28, 18, 27, 12, 19, 35, 6]","[0, 5]"
2,[4],"[0, 95, 31, 30, 214, 27, 15, 17, 18, 18, 49, 42, 39, 32, 32, 26, 21, 25, 49, 19, 20, 21, 31, 51, 45, 39, 18, 24, 20, 24, 20, 25, 19, 28, 18, 27, 12, 19, 35, 6]","[9, 19]"
2,[5],"[0, 95, 31, 30, 214, 27, 15, 17, 18, 18, 49, 42, 39, 32, 32, 26, 21, 25, 49, 19, 20, 21, 31, 51, 45, 39, 18, 24, 20, 24, 20, 25, 19, 28, 18, 27, 12, 19, 35, 6]","[21, 26]"
3,[6],"[0, 96, 18, 9, 28, 19, 18, 23, 27, 36, 39, 10, 33, 29, 30, 22, 260, 18, 36, 13, 20, 20, 26, 9, 25, 19, 16, 22, 11, 24, 20, 31, 29, 11, 14, 20, 23, 23, 12, 4]","[0, 19]"
4,[7],"[0, 387, 82, 22, 19, 28, 25, 16, 14, 18, 24, 21, 10, 11, 28, 14, 6, 41, 31, 17, 15, 29, 26, 21, 17, 14, 17, 18, 16, 55, 21, 9, 23, 27, 24, 39, 12, 18, 23, 13]","[0, 3]"
5,[8],"[0, 52, 29, 27, 21, 8, 41, 9, 22, 34, 17, 12, 18, 31, 35, 25, 23, 42, 16, 11, 273, 30, 22, 20, 31, 22, 18, 16, 14, 19, 14, 9, 11, 10, 7, 8, 9, 10, 16, 4]","[0, 26]"
6,[9],"[0, 278, 90, 21, 17, 31, 16, 15, 16, 33, 23, 10, 10, 16, 45, 45, 24, 38, 45, 13, 9, 22, 28, 21, 11, 16, 13, 15, 14, 15, 20, 18, 15, 10, 8, 13, 3, 15, 25, 6]","[0, 6]"
6,[10],"[0, 278, 90, 21, 17, 31, 16, 15, 16, 33, 23, 10, 10, 16, 45, 45, 24, 38, 45, 13, 9, 22, 28, 21, 11, 16, 13, 15, 14, 15, 20, 18, 15, 10, 8, 13, 3, 15, 25, 6]","[13, 19]"
7,[11],"[0, 92, 23, 25, 26, 29, 26, 38, 306, 28, 28, 25, 16, 25, 40, 27, 17, 20, 33, 41, 88, 31, 22, 32, 24, 19, 12, 27, 72, 17, 20, 13, 34, 21, 14, 18, 15, 8, 21, 7]","[0, 11]"
7,[12],"[0, 92, 23, 25, 26, 29, 26, 38, 306, 28, 28, 25, 16, 25, 40, 27, 17, 20, 33, 41, 88, 31, 22, 32, 24, 19, 12, 27, 72, 17, 20, 13, 34, 21, 14, 18, 15, 8, 21, 7]","[17, 29]"
8,[13],"[0, 356, 117, 17, 17, 15, 26, 31, 33, 25, 48, 37, 18, 18, 76, 38, 23, 29, 31, 32, 93, 36, 32, 35, 24, 22, 25, 30, 87, 27, 30, 23, 23, 30, 38, 17, 10, 18, 17, 5]","[0, 3]"
8,[14],"[0, 356, 117, 17, 17, 15, 26, 31, 33, 25, 48, 37, 18, 18, 76, 38, 23, 29, 31, 32, 93, 36, 32, 35, 24, 22, 25, 30, 87, 27, 30, 23, 23, 30, 38, 17, 10, 18, 17, 5]","[13, 29]"
9,[15],"[0, 78, 24, 23, 322, 23, 22, 31, 41, 21, 16, 24, 7, 21, 31, 25, 9, 15, 28, 12, 6, 22, 14, 19, 15, 11, 14, 14, 14, 27, 24, 3, 9, 4, 12, 6, 2, 28, 26, 13]","[0, 9]"
10,[16],"[0, 455, 101, 12, 15, 12, 21, 17, 15, 81, 44, 23, 21, 19, 36, 19, 13, 16, 52, 14, 7, 24, 18, 23, 13, 15, 14, 11, 8, 14, 16, 18, 20, 31, 13, 26, 49, 20, 20, 3]","[0, 3]"
10,[17],"[0, 455, 101, 12, 15, 12, 21, 17, 15, 81, 44, 23, 21, 19, 36, 19, 13, 16, 52, 14, 7, 24, 18, 23, 13, 15, 14, 11, 8, 14, 16, 18, 20, 31, 13, 26, 49, 20, 20, 3]","[8, 11]"
11,[18],"[0, 237, 89, 23, 10, 12, 8, 16, 18, 21, 25, 23, 11, 18, 28, 17, 24, 23, 35, 23, 32, 24, 18, 18, 12, 20, 24, 16, 7, 17, 26, 13, 31, 31, 17, 20, 13, 26, 24, 4]","[0, 4]"
11,[19],"[0, 237, 89, 23, 10, 12, 8, 16, 18, 21, 25, 23, 11, 18, 28, 17, 24, 23, 35, 23, 32, 24, 18, 18, 12, 20, 24, 16, 7, 17, 26, 13, 31, 31, 17, 20, 13, 26, 24, 4]","[13, 22]"
12,[20],"[0, 270, 94, 23, 20, 21, 19, 19, 12, 9, 33, 13, 7, 13, 89, 29, 47, 58, 60, 15, 18, 18, 28, 28, 14, 32, 25, 18, 18, 26, 24, 42, 36, 31, 41, 45, 11, 24, 23, 10]","[0, 3]"
12,[21],"[0, 270, 94, 23, 20, 21, 19, 19, 12, 9, 33, 13, 7, 13, 89, 29, 47, 58, 60, 15, 18, 18, 28, 28, 14, 32, 25, 18, 18, 26, 24, 42, 36, 31, 41, 45, 11, 24, 23, 10]","[13, 19]"
12,[22],"[0, 270, 94, 23, 20, 21, 19, 19, 12, 9, 33, 13, 7, 13, 89, 29, 47, 58, 60, 15, 18, 18, 28, 28, 14, 32, 25, 18, 18, 26, 24, 42, 36, 31, 41, 45, 11, 24, 23, 10]","[30, 36]"
13,[23],"[0, 410, 79, 18, 18, 18, 5, 6, 11, 19, 8, 21, 12, 14, 27, 37, 26, 39, 30, 14, 7, 8, 22, 17, 32, 13, 11, 18, 8, 12, 13, 12, 17, 11, 12, 18, 37, 28, 12, 3]","[0, 3]"
14,[24],"[0, 251, 67, 15, 13, 14, 19, 36, 32, 16, 33, 22, 26, 18, 34, 40, 19, 25, 26, 14, 16, 9, 11, 15, 16, 20, 28, 34, 24, 34, 19, 18, 18, 14, 12, 29, 9, 8, 23, 25]","[0, 3]"
14,[25],"[0, 251, 67, 15, 13, 14, 19, 36, 32, 16, 33, 22, 26, 18, 34, 40, 19, 25, 26, 14, 16, 9, 11, 15, 16, 20, 28, 34, 24, 34, 19, 18, 18, 14, 12, 29, 9, 8, 23, 25]","[6, 19]"
15,[26],"[0, 238, 77, 17, 8, 15, 21, 19, 15, 15, 31, 13, 7, 36, 38, 10, 13, 18, 27, 7, 4, 13, 9, 11, 7, 16, 15, 8, 8, 21, 60, 7, 18, 29, 18, 58, 24, 21, 14, 3]","[0, 3]"
15,[27],"[0, 238, 77, 17, 8, 15, 21, 19, 15, 15, 31, 13, 7, 36, 38, 10, 13, 18, 27, 7, 4, 13, 9, 11, 7, 16, 15, 8, 8, 21, 60, 7, 18, 29, 18, 58, 24, 21, 14, 3]","[28, 31]"
15,[28],"[0, 238, 77, 17, 8, 15, 21, 19, 15, 15, 31, 13, 7, 36, 38, 10, 13, 18, 27, 7, 4, 13, 9, 11, 7, 16, 15, 8, 8, 21, 60, 7, 18, 29, 18, 58, 24, 21, 14, 3]","[32, 38]"
16,[29],"[0, 292, 42, 35, 13, 15, 29, 7, 8, 11, 25, 11, 7, 12, 56, 7, 9, 9, 26, 15, 13, 7, 6, 6, 9, 9, 8, 29, 9, 18, 25, 7, 15, 17, 13, 21, 87, 26, 20, 1]","[0, 4]"
16,[30],"[0, 292, 42, 35, 13, 15, 29, 7, 8, 11, 25, 11, 7, 12, 56, 7, 9, 9, 26, 15, 13, 7, 6, 6, 9, 9, 8, 29, 9, 18, 25, 7, 15, 17, 13, 21, 87, 26, 20, 1]","[34, 39]"
17,[31],"[0, 70, 13, 23, 29, 17, 19, 19, 33, 34, 18, 15, 33, 49, 31, 17, 26, 32, 241, 17, 12, 13, 16, 14, 13, 21, 16, 20, 10, 18, 21, 25, 28, 22, 22, 13, 19, 22, 19, 6]","[0, 19]"
18,[32],"[0, 80, 22, 24, 345, 28, 17, 13, 13, 27, 47, 18, 13, 31, 73, 18, 17, 15, 55, 31, 21, 26, 20, 30, 11, 22, 8, 13, 10, 18, 18, 12, 13, 36, 21, 17, 5, 12, 19, 10]","[0, 6]"
18,[33],"[0, 80, 22, 24, 345, 28, 17, 13, 13, 27, 47, 18, 13, 31, 73, 18, 17, 15, 55, 31, 21, 26, 20, 30, 11, 22, 8, 13, 10, 18, 18, 12, 13, 36, 21, 17, 5, 12, 19, 10]","[8, 20]"
19,[34],"[0, 221, 93, 23, 17, 22, 19, 25, 27, 22, 22, 11, 9, 18, 23, 19, 12, 12, 25, 12, 6, 14, 15, 6, 9, 22, 17, 21, 10, 14, 13, 3, 14, 11, 11, 8, 2, 10, 28, 4]","[0, 11]"
20,[35],"[0, 267, 86, 17, 14, 22, 24, 22, 33, 37, 38, 40, 55, 55, 150, 53, 61, 53, 52, 32, 20, 28, 28, 24, 28, 21, 20, 21, 21, 17, 17, 10, 17, 21, 16, 27, 11, 19, 40, 4]","[0, 3]"
20,[36],"[0, 267, 86, 17, 14, 22, 24, 22, 33, 37, 38, 40, 55, 55, 150, 53, 61, 53, 52, 32, 20, 28, 28, 24, 28, 21, 20, 21, 21, 17, 17, 10, 17, 21, 16, 27, 11, 19, 40, 4]","[7, 20]"
21,[37],"[0, 204, 70, 21, 14, 14, 25, 17, 8, 24, 26, 24, 20, 15, 45, 25, 21, 26, 39, 41, 11, 29, 40, 29, 17, 64, 140, 44, 26, 27, 44, 32, 13, 46, 113, 22, 4, 51, 19, 36]","[0, 3]"
21,[38],"[0, 204, 70, 21, 14, 14, 25, 17, 8, 24, 26, 24, 20, 15, 45, 25, 21, 26, 39, 41, 11, 29, 40, 29, 17, 64, 140, 44, 26, 27, 44, 32, 13, 46, 113, 22, 4, 51, 19, 36]","[24, 32]"
22,[39],"[0, 254, 45, 9, 23, 13, 24, 42, 45, 25, 11, 14, 11, 17, 51, 21, 12, 21, 56, 49, 11, 15, 21, 13, 19, 12, 11, 9, 11, 7, 31, 7, 10, 17, 13, 11, 8, 33, 12, 7]","[0, 3]"
22,[40],"[0, 254, 45, 9, 23, 13, 24, 42, 45, 25, 11, 14, 11, 17, 51, 21, 12, 21, 56, 49, 11, 15, 21, 13, 19, 12, 11, 9, 11, 7, 31, 7, 10, 17, 13, 11, 8, 33, 12, 7]","[13, 20]"
23,[41],"[0, 262, 236, 19, 50, 18, 9, 11, 12, 24, 29, 18, 19, 10, 30, 7, 25, 14, 21, 22, 14, 9, 11, 21, 12, 15, 15, 20, 13, 14, 12, 35, 39, 24, 12, 23, 85, 20, 19, 16]","[0, 5]"
23,[42],"[0, 262, 236, 19, 50, 18, 9, 11, 12, 24, 29, 18, 19, 10, 30, 7, 25, 14, 21, 22, 14, 9, 11, 21, 12, 15, 15, 20, 13, 14, 12, 35, 39, 24, 12, 23, 85, 20, 19, 16]","[30, 37]"
24,[43],"[0, 521, 111, 11, 17, 4, 6, 13, 10, 4, 4, 3, 2, 2, 24, 9, 5, 5, 13, 4, 2, 5, 6, 8, 11, 10, 10, 21, 35, 19, 6, 28, 27, 23, 13, 15, 45, 35, 6, 10]","[0, 3]"
